seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
888,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.6639221556886228,0.3772455089820359,0.9505988023952096,0.37456748333600837,0.36676646706586824,0.059880239520958084,0.30688622754491013,0.163265306122449,0.6347305389221557,0.11976047904191617,0.5149700598802396,0.18867924528301885,0.9011976047904192,1.0,0.09880239520958078,0.9011976047904192
888,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
888,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.6437125748502994,0.3143712574850299,0.9730538922155688,0.3063962298932937,0.28592814371257486,0.05538922155688623,0.23053892215568864,0.19371727748691098,0.5179640718562875,0.11077844311377245,0.407185628742515,0.21387283236994217,0.9461077844311377,1.0,0.053892215568862256,0.9461077844311377
888,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.6601796407185628,0.36976047904191617,0.9505988023952096,0.38987454969793106,0.36826347305389223,0.05089820359281437,0.31736526946107785,0.13821138211382114,0.6377245508982036,0.10179640718562874,0.5359281437125748,0.1596244131455399,0.9011976047904192,1.0,0.09880239520958078,0.9011976047904192
888,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.6616766467065869,0.36826347305389223,0.9550898203592815,0.33648360967347246,0.34281437125748504,0.07035928143712575,0.27245508982035926,0.20524017467248906,0.5958083832335329,0.1407185628742515,0.4550898203592814,0.23618090452261306,0.9101796407185628,1.0,0.08982035928143717,0.9101796407185628
888,x_rand_s,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.6467065868263473,0.3502994011976048,0.9431137724550899,0.2974162658727011,0.32335329341317365,0.08383233532934131,0.23952095808383234,0.25925925925925924,0.5568862275449101,0.1437125748502994,0.4131736526946107,0.25806451612903225,0.9101796407185628,0.9760479041916168,0.06586826347305397,0.9325153374233128
888,x_rand_s,"LRCV",https://app.wandb.ai/predictive-analytics-lab/suds/runs/z5cmn4ow,0.0,0.0,0.6474550898203593,0.3502994011976048,0.9446107784431138,0.2959631731916334,0.3218562874251497,0.08383233532934131,0.2380239520958084,0.26046511627906976,0.5568862275449101,0.1437125748502994,0.4131736526946107,0.25806451612903225,0.9131736526946108,0.9760479041916168,0.06287425149700598,0.9355828220858896
1,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/suds/runs/2l61qe7o,0.0,0.0,0.656437125748503,0.37425149700598803,0.938622754491018,0.3753753116209926,0.3727544910179641,0.06287425149700598,0.3098802395209581,0.1686746987951807,0.6227544910179641,0.12574850299401197,0.4970059880239521,0.2019230769230769,0.8772455089820359,1.0,0.1227544910179641,0.8772455089820359
1,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/suds/runs/2l61qe7o,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
1,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/suds/runs/2l61qe7o,0.0,0.0,0.625,0.2844311377245509,0.9655688622754491,0.2719392911219861,0.25898203592814373,0.059880239520958084,0.19910179640718564,0.23121387283236994,0.4491017964071856,0.11976047904191617,0.32934131736526945,0.26666666666666666,0.9311377245508982,1.0,0.06886227544910184,0.9311377245508982
