bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,9,9,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,10,10,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,12,12,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,13,13,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,14,14,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,15,15,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,16,16,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,17,17,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,19,19,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,18,18,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,20,20,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,22,22,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,21,21,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5022455089820359,1.0,0.0044910179640718,0.0158133650950361,0.5014970059880239,0.5029940119760479,0.0014970059880239,0.9970238095238096,0.998502994011976,0.997005988023952,0.0014970059880239,0.9985007496251874,1.0,1.0,0.0,1.0,0.0029940119760479,0.0059880239520958,0.0029940119760479,0.5,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,23,23,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,24,24,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,25,25,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,26,26,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,27,27,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,28,28,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,1.0,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,29,29,results/adult/missing_demo/,,,False,4,cuda:0,True,0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
